name,rating,hours,categories,address
Lizard Lounge,4 star rating,9:00 PM - 1:00 AM (Next day);7:30 PM - 1:00 AM (Next day);7:30 PM - 1:00 AM (Next day);7:30 PM - 2:00 AM (Next day);7:30 PM - 2:00 AM (Next day);7:30 PM - 2:00 AM (Next day);7:30 PM - 1:00 AM (Next day),Music Venues;Burgers,"1667 Massachusetts Ave, Cambridge, MA 02138"
The Friendly Toast,3.5 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 3:00 PM,Breakfast & Brunch;Bars,"50 Independence Way, Danvers, MA 01923"
Lucky Strike Fenway,2.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Venues & Event Spaces;Arcades,"145 Ipswich St, Boston, MA 02215"
Carrie Nation Cocktail Club,3.5 star rating,Closed;11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day),American (Traditional);Cocktail Bars,"11 Beacon St, Boston, MA 02108"
Bijou,2 star rating,Closed;Closed;Closed;10:00 PM - 2:00 AM (Next day);10:00 PM - 2:00 AM (Next day);10:00 PM - 2:00 AM (Next day);Closed,Dance Clubs;Lounges,"51 Stuart St, Boston, MA 02116"
Lizard Lounge,4 star rating,9:00 PM - 1:00 AM (Next day);7:30 PM - 1:00 AM (Next day);7:30 PM - 1:00 AM (Next day);7:30 PM - 2:00 AM (Next day);7:30 PM - 2:00 AM (Next day);7:30 PM - 2:00 AM (Next day);7:30 PM - 1:00 AM (Next day),Music Venues;Burgers,"1667 Massachusetts Ave, Cambridge, MA 02138"
A4cade by Area Four,3.5 star rating,Closed;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 12:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);Closed,Arcades;Cocktail Bars,"292 Massachusetts Ave, Cambridge, MA 02139"
The Tam,3.5 star rating,10:00 AM - 2:00 AM (Next day);10:00 AM - 2:00 AM (Next day);10:00 AM - 2:00 AM (Next day);10:00 AM - 2:00 AM (Next day);10:00 AM - 2:00 AM (Next day);10:00 AM - 2:00 AM (Next day);10:00 AM - 2:00 AM (Next day),Dive Bars,"222 Tremont St, Boston, MA 02118"
D's Keys,4 star rating,Closed;Closed;Closed;7:00 PM - 12:00 AM (Next day);7:00 PM - 2:00 AM (Next day);7:00 PM - 2:00 AM (Next day);Closed,Piano Bars,"391 D St, Boston, MA 02210"
The Middle East,3.5 star rating,11:00 AM - 1:00 AM (Next day);11:00 AM - 1:00 AM (Next day);11:00 AM - 1:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 1:00 AM (Next day),Middle Eastern;Music Venues;Bars,"472-480 Massachusetts Ave, Cambridge, MA 02139"
W Lounge,3 star rating,11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day),Lounges,"100 Stuart St, Boston, MA 02116"
The Wild Rover,3 star rating,4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day),Dance Clubs;Venues & Event Spaces;Sports Bars,"61-63 Chatham St, Boston, MA 02109"
The Comedy Studio,4.5 star rating,5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 1:00 AM (Next day);2:00 PM - 1:00 AM (Next day);2:00 PM - 12:00 AM (Next day),Performing Arts;Comedy Clubs,"1 Bow Market Way, Ste 23"
Improv Asylum,4 star rating,Closed;Closed;Closed;5:00 PM - 10:00 PM;5:00 PM - 11:00 PM;3:00 PM - 11:00 PM;Closed,Performing Arts;Comedy Clubs,"216 Hanover St, Boston, MA 02113"
Alchemy,3.5 star rating,11:30 AM - 9:00 PM;11:30 AM - 9:00 PM;11:30 AM - 9:00 PM;11:30 AM - 9:00 PM;11:30 AM - 10:00 PM;11:30 AM - 10:00 PM;11:30 AM - 9:00 PM,Sushi Bars;American (New);Cocktail Bars,"1100 Market St, Lynnfield, MA 01940"
Lucky Strike Fenway,2.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Venues & Event Spaces;Arcades,"145 Ipswich St, Boston, MA 02215"
The Friendly Toast,3.5 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 3:00 PM,Breakfast & Brunch;Bars,"50 Independence Way, Danvers, MA 01923"
Bustonian,4.5 star rating,,Nightlife;Party & Event Planning;Limos,N/A
Venu,2.5 star rating,Closed;10:00 PM - 5:00 AM (Next day);10:00 PM - 5:00 AM (Next day);10:00 PM - 5:00 AM (Next day);10:00 PM - 5:00 AM (Next day);10:00 PM - 5:00 AM (Next day);10:30 PM - 2:00 AM (Next day),Dance Clubs,"100 Warrenton St, Boston, MA 02116"
Bar 10,3.5 star rating,11:30 AM - 12:30 AM (Next day);11:30 AM - 12:30 AM (Next day);11:30 AM - 12:30 AM (Next day);11:30 AM - 12:30 AM (Next day);11:30 AM - 1:00 AM (Next day);11:30 AM - 1:00 AM (Next day);11:30 AM - 12:30 AM (Next day),Lounges;American (New);Cocktail Bars,"10 Huntington Ave, Boston, MA 02116"
dbar,4 star rating,5:00 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:30 PM - 12:00 AM (Next day);5:00 PM - 12:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);11:00 AM - 12:00 AM (Next day),Dance Clubs;American (New),"1236 Dorchester Ave, Dorchester, MA 02125"
Committee,4 star rating,5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);10:00 AM - 3:00 PM;5:00 PM - 1:00 AM (Next day);10:00 AM - 3:00 PM;5:00 PM - 1:00 AM (Next day),Mediterranean;Greek;Cocktail Bars,"50 Northern Ave, Boston, MA 02210"
Gays for Patsy,4.5 star rating,,Dance Clubs,"6 Eliot St, 1st Church of Jamaica Plain, Unitarian Universalist"
Silhouette Lounge,4 star rating,4:00 PM - 1:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 1:00 AM (Next day);3:00 PM - 1:00 AM (Next day);3:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day),Dive Bars;Lounges,"200 Brighton Ave, Allston, MA 02134"
Liberty Bar,4.5 star rating,4:00 PM - 10:00 PM;4:00 PM - 10:00 PM;4:00 PM - 10:00 PM;12:00 PM - 10:00 PM;12:00 PM - 12:00 AM (Next day);10:00 AM - 12:00 AM (Next day);10:00 AM - 10:00 PM,Bars,"215 Charles St, Boston, MA 02114"
