name,rating,hours,categories,address
Mistral,4 star rating,5:30 PM - 8:30 PM;5:30 PM - 8:30 PM;5:30 PM - 8:30 PM;5:30 PM - 8:30 PM;5:30 PM - 9:00 PM;5:30 PM - 9:00 PM;5:30 PM - 8:30 PM,French;Mediterranean,"223 Columbus Ave, Boston, MA 02116"
Brasserie,4 star rating,5:00 PM - 10:30 PM;5:00 PM - 10:30 PM;5:00 PM - 10:30 PM;5:00 PM - 10:30 PM;5:00 PM - 11:30 PM;5:00 PM - 11:30 PM;10:00 AM - 3:00 PM;5:00 PM - 10:00 PM,French,"560 Harrison Ave, Boston, MA 02118"
Potbelly Sandwich Shop,3.5 star rating,8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM,Sandwiches;Fast Food;Salad,"263 Washington St, Boston, MA 02108"
WECO Hospitality,4 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Closed;Closed,Food Delivery Services;Asian Fusion;American (Traditional),"251 Arlington St, Acton, MA 01720"
WECO Hospitality,4 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Closed;Closed,Food Delivery Services;Asian Fusion;American (Traditional),"251 Arlington St, Acton, MA 01720"
Gyu-Kaku Japanese BBQ,4 star rating,11:00 AM - 4:00 PM;11:00 AM - 10:30 PM;11:00 AM - 10:30 PM;11:00 AM - 9:00 PM;11:00 AM - 10:30 PM;11:00 AM - 10:30 PM;Closed,Japanese;Barbeque;Asian Fusion,"23 District Ave, Dorchester, MA 02125"
Lincoln Tavern and Restaurant,4 star rating,10:00 AM - 1:00 AM (Next day);10:00 AM - 1:00 AM (Next day);10:00 AM - 1:00 AM (Next day);10:00 AM - 1:00 AM (Next day);10:00 AM - 1:00 AM (Next day);9:00 AM - 1:00 AM (Next day);9:00 AM - 1:00 AM (Next day),American (New);Bars,"425 W Broadway, Boston, MA 02127"
Dolphin Bay,4.5 star rating,11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 9:30 PM;11:00 AM - 9:30 PM;11:00 AM - 9:00 PM,Taiwanese;Bubble Tea,"72 Brighton Ave, Boston, MA 02134"
Pressed Cafe,5 star rating,5:00 AM - 10:00 PM;5:00 AM - 10:00 PM;5:00 AM - 10:00 PM;5:00 AM - 10:00 PM;5:00 AM - 1:00 AM (Next day);5:00 AM - 1:00 AM (Next day);5:00 AM - 10:00 PM,Sandwiches;Juice Bars & Smoothies;Breakfast & Brunch,"105 Huntington Ave, Boston, MA 02199"
SRV Boston,4.5 star rating,Closed;Closed;5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;5:00 PM - 10:30 PM;5:00 PM - 10:30 PM;11:00 AM - 2:30 PM;5:00 PM - 10:00 PM,Italian;Wine Bars,"569 Columbus Ave, Boston, MA 02118"
Eventide - Fenway,4 star rating,Closed;Closed;12:00 PM - 9:00 PM;12:00 PM - 9:00 PM;12:00 PM - 9:00 PM;12:00 PM - 9:00 PM;12:00 PM - 9:00 PM,Seafood,"1321 Boylston St, Boston, MA 02215"
