name,rating,hours,categories,address
Caffè Nero,3.5 star rating,7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM,Coffee & Tea,"564 Tremont St, Boston, MA 02118"
Vivi Bubble Tea Brighton,4 star rating,12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 12:00 AM (Next day);12:00 PM - 11:00 PM,Bubble Tea,"364 Washington St, Boston, MA 02135"
Hogg Batch Coffee,5 star rating,,Coffee Roasteries,"2327 Central Ave, St. Petersburg, FL 33713"
Cafe Luna Catering,N/A,9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;10:00 AM - 2:00 PM;10:00 AM - 2:00 PM,,"612 Main St, Cambridge, MA 02139"
Blue Bottle Coffee,4 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM,Coffee & Tea,"163 Newbury St, Boston, MA 02116"
Caffe Nero,3.5 star rating,,Coffee & Tea,"114 Edgerly Rd, Boston, MA 02115"
Berkeley Perk Cafe,4 star rating,7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;Closed;Closed,Sandwiches;Coffee & Tea;Cafes,"69 Berkeley St, Boston, MA 02116"
Kane's Donuts - Downtown,4 star rating,7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM,Donuts;Coffee & Tea;Breakfast & Brunch,"90 Oliver St, Boston, MA 02110"
Melting Sun,5 star rating,6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM,Coffee & Tea;Cafes;Sandwiches,"100 Memorial Dr, Cambridge, MA 02142"
Tokava coffee,5 star rating,7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;8:00 AM - 4:00 PM;8:00 AM - 4:00 PM,Coffee & Tea;Bakeries,"7 Pond St, Jamaica Plain, MA 02130"
Coco Leaf,4.5 star rating,9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:00 PM;9:00 AM - 8:00 PM,Desserts;Coffee & Tea;Juice Bars & Smoothies,"1480 Dorchester Ave, Boston, MA 02122"
Jaho Coffee & Tea,3.5 star rating,6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM,Coffee & Tea;Bakeries;Sandwiches,"1651 Washington St, Boston, MA 02118"
Bitty & Beau's Coffee,5 star rating,7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM,Coffee & Tea,"462 Main St, Melrose, MA 02176"
Caffe Paradiso,4 star rating,7:00 AM - 2:00 AM (Next day);7:00 AM - 2:00 AM (Next day);7:00 AM - 2:00 AM (Next day);7:00 AM - 2:00 AM (Next day);7:00 AM - 2:00 AM (Next day);7:00 AM - 2:00 AM (Next day);7:00 AM - 2:00 AM (Next day),Desserts;Coffee & Tea;Cocktail Bars,"255 Hanover St, Boston, MA 02113"
Cafe Luna Catering,Rating,9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;10:00 AM - 2:00 PM;10:00 AM - 2:00 PM,,"612 Main St, Cambridge, MA 02139"
Hogg Batch Coffee,5 star rating,,Coffee Roasteries,"2327 Central Ave, St. Petersburg, FL 33713"
Travelmug Cafe,5 star rating,7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;Closed,Coffee & Tea;Food Trucks,N/A
Monumental Market,5 star rating,Closed;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 6:00 PM;9:00 AM - 4:00 PM;9:00 AM - 4:00 PM,Bakeries;Coffee & Tea;Vinyl Records,"36 South St, Boston, MA 02130"
Travelmug Cafe,5 star rating,7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;7:30 AM - 1:00 PM;Closed,Coffee & Tea;Food Trucks,N/A
Abigail's Tea Room,4.5 star rating,9:30 AM - 5:00 PM;9:30 AM - 5:00 PM;9:30 AM - 5:00 PM;9:30 AM - 5:00 PM;9:30 AM - 5:00 PM;9:30 AM - 5:00 PM;9:30 AM - 5:00 PM,Coffee & Tea;Soup;Sandwiches,"306 Congress St, Boston, MA 02210"
Table 88,4.5 star rating,,Coffee & Tea;Breakfast & Brunch,"88 Exeter St, Boston, MA 02116"
Coffee Central,4 star rating,,Coffee & Tea,"55 Fruit St, Massachusetts General Hospital"
Blue Bottle Coffee,4 star rating,8:00 AM - 4:00 PM;8:00 AM - 4:00 PM;8:00 AM - 4:00 PM;8:00 AM - 4:00 PM;8:00 AM - 4:00 PM;8:00 AM - 4:00 PM;8:00 AM - 3:00 PM,Coffee & Tea,"88 Ames St, Ste R120"
Pavement Coffeehouse,3.5 star rating,7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM,Coffee & Tea;Bagels;Sandwiches,"286 Newbury St, Boston, MA 02115"
South End Buttery,3 star rating,6:30 AM - 8:00 PM;6:30 AM - 8:00 PM;6:30 AM - 8:00 PM;6:30 AM - 8:00 PM;6:30 AM - 8:00 PM;6:30 AM - 8:00 PM;6:30 AM - 8:00 PM,American (Traditional);Coffee & Tea;Bakeries,"37 Clarendon St, Boston, MA 02116"
Pavement Coffeehouse,3 star rating,7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM;7:00 AM - 4:00 PM,Coffee & Tea;Bagels;Sandwiches,"736 Commonwealth Ave, Boston, MA 02215"
Reign Drink Lab,4.5 star rating,8:00 AM - 6:30 PM;8:00 AM - 6:30 PM;8:00 AM - 6:30 PM;8:00 AM - 6:30 PM;8:00 AM - 6:30 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Coffee & Tea;Juice Bars & Smoothies;Bubble Tea,"1370 Dorchester Ave, Dorchester, MA 02122"
TeaMoji,4 star rating,11:30 AM - 8:00 PM;11:30 AM - 9:00 PM;11:30 AM - 9:00 PM;Closed;11:30 AM - 9:30 PM;11:30 AM - 9:30 PM;11:30 AM - 9:00 PM,Bubble Tea;Coffee & Tea;Sandwiches,"3 N Beacon St, Boston, MA 02134"
Hogg Batch Coffee,5 star rating,,Coffee Roasteries,"2327 Central Ave, St. Petersburg, FL 33713"
Cafe Luna Catering,N/A,9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;10:00 AM - 2:00 PM;10:00 AM - 2:00 PM,,"612 Main St, Cambridge, MA 02139"
Tous Les Jours,4.5 star rating,7:30 AM - 9:00 PM;7:30 AM - 9:00 PM;7:30 AM - 9:00 PM;7:30 AM - 9:00 PM;7:30 AM - 9:00 PM;7:30 AM - 9:00 PM;7:30 AM - 9:00 PM,Coffee & Tea;Bakeries;Desserts,"230 Pleasant St, Malden, MA 02148"
