name,rating,hours,categories,address
Alexander Salon and Spa,4.5 star rating,10:00 AM - 6:00 PM;9:30 AM - 7:00 PM;9:30 AM - 7:00 PM;9:30 AM - 7:00 PM;9:30 AM - 7:00 PM;9:00 AM - 6:00 PM;Closed,Hair Salons,"224 Harvard St, Brookline, MA 02446"
Toscana European Day Spa & Salon,4 star rating,Closed;10:00 AM - 7:00 PM;10:00 AM - 8:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;9:00 AM - 6:00 PM;Closed,Hair Salons;Day Spas,"231 Newbury St, Boston, MA 02116"
Inde Salon and Skin Care,4.5 star rating,Closed;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 7:00 PM;9:00 AM - 5:00 PM;Closed,Hair Salons;Skin Care;Waxing,"46 Independence Ave, Quincy, MA 02169"
Bath & Body Works,2 star rating,,Cosmetics & Beauty Supply,"245 1st St, Cambridge, MA 02142"
Made By G,5 star rating,8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM,Makeup Artists,N/A
Pour Le Corps,4.5 star rating,Closed;8:30 AM - 7:00 PM;8:30 AM - 7:00 PM;8:30 AM - 7:00 PM;8:30 AM - 5:30 PM;10:00 AM - 3:00 PM;Closed,Skin Care;Waxing;Eyebrow Services,"224 Clarendon St, Ste 21"
Sully's Barber & Styling Shop,3.5 star rating,9:00 AM - 7:00 PM;9:00 AM - 7:00 PM;9:00 AM - 7:00 PM;9:00 AM - 8:00 PM;8:00 AM - 8:00 PM;11:00 AM - 5:00 PM;Closed,Barbers,"1596 Tremont St, Boston, MA 02120"
Equinox Seaport,3.5 star rating,6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 8:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM,Gyms;Day Spas;Sports Clubs,"27 Northern Ave, Boston, MA 02210"
Merle Norman Cosmetics Skin Care & Nails,4.5 star rating,Closed;9:30 AM - 5:00 PM;9:30 AM - 8:00 PM;9:30 AM - 8:00 PM;9:30 AM - 5:00 PM;9:00 AM - 5:00 PM;Closed,Cosmetics & Beauty Supply,"715 Massachusetts Ave, Arlington, MA 02476"
Divine Indulgence Day Spa,5 star rating,Closed;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;Closed,Day Spas;Massage;Hair Removal,"735 Morrissey Blvd, Lambert's Fitness Ctr"
Noel Herbal Skin Care,5 star rating,,Skin Care;Waxing,"689 Somerville Ave, Somerville, MA 02143"
Joy Skin Atelier,5 star rating,Closed;10:00 AM - 4:00 PM;12:00 PM - 6:30 PM;12:00 PM - 6:30 PM;10:00 AM - 4:00 PM;9:00 AM - 1:00 PM;Closed,Skin Care;Waxing;Makeup Artists,"24 Cambridge St, Ste 1"
Happy Nails,2.5 star rating,,Beauty & Spas,"149 Washington St, Boston, MA 02121"
