name,rating,hours,categories,address
Longyear Museum,5 star rating,10:00 AM - 4:00 PM;Closed;Closed;10:00 AM - 4:00 PM;10:00 AM - 4:00 PM;Closed;Closed,Museums,"1125 Boylston St, Chestnut Hill, MA 02467"
JC's LazerTag,4 star rating,,Amusement Parks;Arcades,"10 Micro Dr, Ste 500"
Burlington Ice Palace,5 star rating,,Skating Rinks;Stadiums & Arenas,"36 Ray Ave, Burlington, MA 01803"
The Sports Museum,5 star rating,12:00 PM - 4:30 PM;12:00 PM - 4:30 PM;12:00 PM - 4:30 PM;12:00 PM - 4:30 PM;12:00 PM - 4:30 PM;12:00 PM - 4:30 PM;Closed,Museums,"100 Legends Way, Boston, MA 02114"
Miracles & Other Deceptions: The Close Up Magic of Paul Gertner,5 star rating,Closed;Closed;Closed;Closed;7:00 PM - 10:15 PM;Closed;Closed,Magicians;Performing Arts,"60 School St, Boston, MA 02108"
Boston Arts Festival,4 star rating,Closed;Closed;Closed;Closed;Closed;11:00 AM - 7:00 PM;Closed,Festivals,"110 Atlantic Ave, Boston, MA 02110"
Monadnock Glass Arts,4 star rating,11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;11:00 AM - 9:00 PM;Closed,Art Galleries;Art Classes,"343 Medford St, Somerville, MA 02145"
Craftboston,4.5 star rating,,Festivals,"900 Boylston St, Boston, MA 02115"
Pucker Gallery,5 star rating,10:00 AM - 5:30 PM;10:00 AM - 5:30 PM;10:00 AM - 5:30 PM;10:00 AM - 5:30 PM;10:00 AM - 5:30 PM;10:00 AM - 5:30 PM;10:30 AM - 5:00 PM,Art Galleries,"240 Newbury St, Fl 3"
Japan Festival Boston,4 star rating,Closed;Closed;Closed;Closed;Closed;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM,Festivals,"The Boston Common 16 Charles St, Boston, MA 02108"
Strand Theatre,3.5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;Closed;Closed,Performing Arts,"543 Columbia Rd, Dorchester, MA 02125"
Paint With Me Boston,5 star rating,,Paint & Sip,N/A
John F Kennedy Presidential Library & Museum,4.5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM,Museums;Libraries,"Columbia Point, Boston, MA 02125"
Boston Hysterical Society,5 star rating,9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 9:00 PM;9:00 AM - 9:30 PM;5:45 AM - 11:45 PM;7:45 AM - 10:45 PM,Magicians;Performing Arts,"31 Milk St, Boston, MA 02109"
The Mystery Lounge,5 star rating,Closed;8:00 PM - 10:00 PM;Closed;Closed;Closed;Closed;Closed,Comedy Clubs;Performing Arts;Magicians,"1238 Massachusetts Ave, Fl 3"
The Picture Store,4.5 star rating,10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 4:00 PM;Closed,Art Galleries;Framing,"65 Berkeley St, Boston, MA 02116"
