name,rating,hours,categories,address
Neoponset River Reservation,3 star rating,,Rafting/Kayaking;Hiking;Fishing,"76 Hill Top St, Boston, MA 02124"
James P Kelleher Rose Garden,5 star rating,,Parks,"73 Park Dr, Boston, MA 02215"
Boston Body Pilates,5 star rating,,Pilates,"34 Commercial Wharf, Boston, MA 02110"
Key To Amaze,3 star rating,Closed;Closed;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 2:00 AM (Next day);2:00 PM - 2:00 AM (Next day);2:00 PM - 10:30 PM,Escape Games;Virtual Reality Centers,"530 Commonwealth Ave, Boston, MA 02215"
Boston SCUBA Inc,5 star rating,9:00 AM - 6:00 PM;Closed;Closed;Closed;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Scuba Diving,"256 Marginal St, East Boston, MA 02128"
SPIN Boston,5 star rating,Closed;4:00 PM - 10:00 PM;4:00 PM - 10:00 PM;4:00 PM - 10:00 PM;4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);Closed,Sports Clubs;Venues & Event Spaces;Cocktail Bars,"30 Melcher St, Boston, MA 02210"
Boston Roller Derby,4.5 star rating,,Amateur Sports Teams,N/A
Endurance Pilates and Yoga Studio,5 star rating,5:00 AM - 10:00 PM;5:00 AM - 10:00 PM;5:00 AM - 10:00 PM;5:00 AM - 10:00 PM;5:00 AM - 8:00 PM;6:00 AM - 8:00 PM;7:00 AM - 7:00 PM,Barre Classes;Yoga;Pilates,"1636 Washington St, Boston, MA 02118"
Boston Sailing Center,4.5 star rating,9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM,Boating;Venues & Event Spaces,"54 Lewis Wharf, Boston, MA 02110"
Train Boston,5 star rating,5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 6:00 PM;8:00 AM - 2:00 PM;8:00 AM - 2:00 PM,Trainers;Physical Therapy;Weight Loss Centers,"34 Washington St, Wellesley Hills, MA 02481"
C.A.C. Basketball,4 star rating,5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;5:00 PM - 11:00 PM;Closed;Closed;10:00 AM - 1:00 PM,Amateur Sports Teams;Sports Clubs,"215 First St, Cambridge, MA 02142"
